T,H,Surge,Sway,Heave,Roll,Pitch,Yaw,Force1,Force2
101.1000015,-3.98E+02,-5.36E+01,-2.28E+00,-3.86E+02,7.66E-05,3.84E-02,-1.01E-04,4.64E+03,4.49E+03
102.1000015,1.77E+02,-2.61E+01,-1.98E+00,5.76E+00,-3.22E-04,4.18E-02,3.21E-05,5.22E+03,4.84E+03
103.1000015,4.35E+02,2.48E+01,-9.01E-01,3.99E+02,-1.54E-04,1.79E-02,2.34E-05,5.69E+03,5.28E+03
104.1000016,5.40E+02,9.75E+01,-1.37E-01,5.02E+02,1.86E-04,-6.77E-03,-3.23E-05,5.90E+03,5.32E+03
105.1000016,3.99E+02,9.90E+01,2.08E+00,3.20E+02,-3.11E-04,-2.23E-02,6.00E-05,5.57E+03,5.20E+03
106.1000016,-2.13E+01,1.14E+01,1.33E+00,2.21E+01,-8.03E-05,-3.07E-02,-1.95E-04,4.86E+03,5.20E+03
107.1000016,-3.06E+02,-7.12E+01,-2.34E+00,-3.10E+02,7.14E-05,-2.36E-02,7.72E-06,4.24E+03,5.05E+03
108.1000016,-4.03E+02,-6.13E+01,-1.20E+00,-4.09E+02,-1.11E-04,2.80E-03,-2.04E-04,4.32E+03,4.71E+03
109.1000016,-2.71E+02,4.24E+01,3.98E+00,-2.02E+02,-6.56E-05,3.15E-02,-2.95E-04,5.11E+03,4.40E+03
110.1000016,1.90E+02,3.95E+01,6.19E-01,7.84E+01,-1.06E-04,3.23E-02,2.11E-05,5.46E+03,4.75E+03
111.1000017,3.86E+02,-1.74E+01,-3.72E+00,1.69E+02,-3.80E-04,-3.04E-03,6.63E-05,5.13E+03,5.29E+03
112.1000017,6.12E+01,2.64E+00,-2.00E+00,1.22E+02,5.41E-04,-3.08E-02,1.10E-04,4.97E+03,5.37E+03
113.1000017,-1.86E+02,4.95E+01,3.69E+00,-1.34E+02,3.71E-04,-1.95E-02,-2.51E-05,4.87E+03,4.79E+03
114.1000017,-2.28E+02,1.68E+01,3.44E-01,-2.86E+02,-2.89E-04,1.32E-03,-5.25E-04,4.72E+03,4.59E+03
115.1000017,-2.20E+02,-8.77E+01,-3.82E+00,-2.24E+02,-3.09E-04,8.21E-03,-2.32E-04,4.50E+03,4.99E+03
116.1000017,-2.92E+01,-3.64E+00,1.92E+00,-1.93E+01,1.09E-04,2.02E-02,3.49E-05,5.10E+03,4.85E+03
117.1000017,2.82E+02,1.02E+02,-7.87E-01,2.21E+02,3.94E-06,2.63E-02,4.29E-04,5.80E+03,4.75E+03
118.1000018,4.71E+02,5.66E+01,-3.98E+00,3.69E+02,7.79E-04,5.83E-03,1.97E-04,5.70E+03,5.23E+03
119.1000018,3.32E+02,1.17E+01,3.77E-01,2.80E+02,-3.43E-04,-2.19E-02,-8.67E-05,5.23E+03,5.45E+03
120.1000018,-4.60E+01,2.56E+01,-3.89E+00,-1.40E+01,-3.19E-05,-3.30E-02,-9.61E-05,4.87E+03,5.14E+03
121.1000018,-3.69E+02,-1.18E+01,-3.50E-01,-3.68E+02,-4.59E-04,-2.35E-02,-1.42E-04,4.36E+03,4.76E+03
122.1000018,-5.42E+02,-6.83E+01,2.88E-01,-5.33E+02,4.14E-04,-3.66E-03,-9.49E-05,4.11E+03,4.63E+03
123.1000018,-4.62E+02,-1.05E+02,-1.09E+00,-4.68E+02,1.24E-04,1.25E-02,-8.91E-05,4.17E+03,4.72E+03
124.1000018,-1.37E+02,-3.52E+01,-7.66E-01,-1.64E+02,6.34E-04,2.94E-02,2.01E-04,4.90E+03,4.74E+03
125.1000019,2.86E+02,1.06E+02,8.32E-01,2.66E+02,1.11E-04,4.05E-02,2.07E-04,5.98E+03,4.69E+03
126.1000019,7.13E+02,1.71E+02,-1.83E+00,6.18E+02,-5.87E-05,2.72E-02,3.58E-05,6.53E+03,4.99E+03
127.1000019,7.65E+02,1.36E+02,1.74E+00,6.06E+02,2.58E-04,-1.64E-02,3.66E-05,6.08E+03,5.38E+03
128.1000019,2.38E+02,4.43E+01,6.26E-01,2.21E+02,5.78E-04,-5.81E-02,-2.02E-05,5.06E+03,5.55E+03
129.1000019,-4.18E+02,2.65E+01,1.49E+00,-3.17E+02,2.08E-04,-4.77E-02,4.20E-05,4.41E+03,4.87E+03
130.1000019,-6.91E+02,-1.14E+01,-7.08E-01,-6.24E+02,-2.67E-05,-1.02E-03,1.35E-05,4.21E+03,4.30E+03
131.100002,-4.94E+02,-7.96E+01,2.02E+00,-5.14E+02,-3.04E-04,3.28E-02,-4.13E-05,4.33E+03,4.44E+03
132.100002,-1.33E+02,-9.16E+01,7.72E-01,-2.04E+02,-4.55E-04,3.20E-02,1.30E-04,4.66E+03,4.86E+03
133.100002,8.22E+01,-7.62E+01,2.07E+00,-1.39E+01,1.47E-04,1.93E-03,7.05E-05,4.73E+03,5.23E+03
134.100002,4.66E+01,-4.56E+01,1.11E+00,-5.26E+00,1.04E-04,-1.84E-02,4.55E-06,4.71E+03,5.28E+03
135.100002,-3.54E+01,1.24E+02,-8.56E-01,4.45E+01,2.91E-04,1.52E-03,2.67E-04,5.49E+03,4.62E+03
136.100002,2.54E+02,1.61E+02,-1.56E+00,2.59E+02,-4.63E-04,3.51E-02,2.12E-04,6.12E+03,4.54E+03
137.100002,6.81E+02,1.14E+02,4.14E+00,4.91E+02,-5.57E-04,2.66E-02,-2.04E-04,6.16E+03,5.01E+03
138.1000021,6.39E+02,7.31E+01,-1.76E+00,5.66E+02,-3.40E-04,-1.15E-02,-3.40E-04,5.86E+03,5.52E+03
139.1000021,2.40E+02,8.48E+01,-2.35E-02,2.62E+02,-6.29E-04,-4.35E-02,-1.19E-04,5.33E+03,5.34E+03
140.1000021,-2.79E+02,3.85E+00,-4.74E-01,-3.25E+02,-1.20E-04,-5.31E-02,2.65E-04,4.30E+03,4.98E+03
141.1000021,-8.52E+02,-7.77E+01,-3.72E+00,-7.72E+02,-3.68E-04,-3.07E-02,2.50E-04,3.63E+03,4.57E+03
142.1000021,-9.75E+02,-1.05E+02,3.75E+00,-8.64E+02,2.48E-04,1.72E-02,4.58E-04,3.72E+03,4.21E+03
143.1000021,-5.02E+02,-1.60E+02,4.86E+00,-6.04E+02,-4.04E-04,4.39E-02,4.37E-04,4.02E+03,4.54E+03
144.1000021,-1.48E+01,-1.31E+02,-3.73E+00,-1.27E+02,1.49E-04,3.63E-02,-2.96E-04,4.67E+03,5.08E+03
145.1000022,3.46E+02,6.07E+01,1.05E-01,3.65E+02,-3.45E-04,2.61E-02,4.31E-05,5.83E+03,5.06E+03
146.1000022,7.55E+02,1.87E+02,-4.29E-01,6.78E+02,-7.14E-04,2.18E-02,-7.11E-05,6.61E+03,5.03E+03
147.1000022,8.96E+02,1.74E+02,-1.42E+00,7.53E+02,9.95E-05,-1.50E-03,-3.51E-05,6.50E+03,5.33E+03
148.1000022,5.95E+02,1.05E+02,2.92E+00,5.95E+02,-6.83E-04,-3.10E-02,-1.75E-04,5.86E+03,5.57E+03
149.1000022,1.51E+02,8.55E+01,-7.92E-01,1.77E+02,-1.07E-04,-3.73E-02,-9.65E-05,5.27E+03,5.19E+03
150.1000022,-2.79E+02,1.32E+01,-4.66E+00,-2.83E+02,2.95E-04,-2.99E-02,2.39E-04,4.53E+03,4.84E+03
151.1000023,-6.55E+02,-1.20E+02,3.30E+00,-6.56E+02,-4.30E-04,-2.46E-02,-2.11E-04,3.63E+03,4.79E+03
152.1000023,-8.33E+02,-1.57E+02,-2.56E+00,-8.05E+02,-8.87E-05,-5.39E-03,-2.49E-04,3.47E+03,4.63E+03
153.1000023,-6.94E+02,-6.79E+01,3.26E-01,-6.56E+02,-2.69E-04,2.91E-02,-4.49E-05,4.18E+03,4.26E+03
154.1000023,-2.35E+02,-5.19E+01,4.15E+00,-2.91E+02,9.50E-05,4.22E-02,-3.50E-04,4.76E+03,4.55E+03
155.1000023,2.01E+02,-7.88E+01,2.39E+00,1.55E+01,1.63E-04,1.65E-02,-2.24E-04,4.86E+03,5.17E+03
156.1000023,3.02E+02,-6.35E+00,2.05E+00,2.82E+02,1.26E-04,-8.52E-04,3.12E-05,5.31E+03,5.36E+03
157.1000023,4.35E+02,2.29E+02,-5.87E+00,5.06E+02,-4.36E-04,1.52E-02,-4.26E-05,6.52E+03,4.74E+03
158.1000024,8.34E+02,3.19E+02,-2.73E+00,7.34E+02,2.57E-05,3.29E-02,4.97E-04,7.23E+03,4.59E+03
159.1000024,9.14E+02,2.10E+02,1.41E+00,6.78E+02,-1.38E-03,-1.10E-02,3.87E-04,6.45E+03,5.16E+03
160.1000024,3.11E+02,5.89E+01,-3.29E+00,3.05E+02,2.74E-04,-6.49E-02,2.21E-04,5.18E+03,5.67E+03
161.1000024,-4.80E+02,4.63E+01,4.63E+00,-3.67E+02,4.33E-04,-6.16E-02,5.43E-04,4.33E+03,4.84E+03
162.1000024,-9.02E+02,-2.39E+01,5.51E+00,-8.39E+02,-1.41E-04,-1.46E-02,-2.31E-04,3.81E+03,4.16E+03
163.1000024,-8.79E+02,-1.49E+02,-2.27E-01,-8.74E+02,1.48E-04,2.39E-02,-9.98E-05,3.61E+03,4.32E+03
164.1000024,-5.53E+02,-2.02E+02,6.97E-01,-6.01E+02,2.73E-04,3.20E-02,-3.87E-05,3.81E+03,4.77E+03
